Rk,Age,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,Pos
1299,33,78,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*1
1300,28,147,633,568,84,156,26,2,26,79,60,2,133,2,0,3,16,6,0,0.275,0.344,0.465,0.809,*5/DH
1301,27,32,73,65,4,8,1,0,0,2,1,0,20,0,6,1,0,0,0,0.123,0.134,0.138,0.273,*1
1302,35,30,43,34,3,5,0,0,0,2,0,0,8,0,9,0,1,0,0,0.147,0.147,0.147,0.294,*1
1303,32,157,698,612,77,168,36,3,12,71,72,4,91,7,1,6,18,11,3,0.275,0.354,0.402,0.756,*496/7DH8
1304,22,52,193,173,22,37,5,0,5,14,16,0,49,3,0,1,5,1,0,0.214,0.29,0.329,0.62,*2/H
1,28,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
2,40,78,155,133,12,33,9,0,1,14,20,0,21,0,0,2,3,1,0,0.248,0.342,0.338,0.68,*H9/7D
3,27,145,622,556,80,176,35,2,36,107,51,15,131,11,0,4,14,3,1,0.317,0.383,0.581,0.964,*3D/H
4,29,3,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,/H45
5,31,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
6,25,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
7,26,143,542,502,64,123,27,4,14,65,32,1,90,3,3,2,10,8,4,0.245,0.293,0.398,0.692,*7H/D
8,22,7,15,15,1,1,0,0,0,0,0,0,5,0,0,0,1,0,0,0.067,0.067,0.067,0.133,/*6H4
9,27,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
10,24,6,3,3,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,/*H8D7
11,25,142,563,527,55,152,34,5,15,68,26,5,114,3,0,7,9,3,2,0.288,0.321,0.457,0.779,*3H
12,35,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
13,26,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
14,29,44,114,101,13,17,3,0,1,8,10,0,27,0,1,2,2,3,1,0.168,0.239,0.228,0.467,7H/9D3
15,24,53,106,97,10,23,6,0,0,5,5,1,22,1,2,1,2,1,1,0.237,0.279,0.299,0.578,4H/65
16,35,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
17,24,19,38,33,2,4,0,0,0,3,4,0,13,0,0,1,1,0,0,0.121,0.211,0.121,0.332,*3/DH5
18,24,25,75,70,9,14,2,0,1,4,3,0,10,0,2,0,2,0,1,0.2,0.233,0.271,0.504,*6/H4
19,31,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
20,28,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
21,22,70,300,278,31,57,11,2,10,29,17,0,93,2,1,2,3,8,5,0.205,0.254,0.367,0.621,*84/H
22,25,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
23,25,59,220,204,19,47,10,1,3,15,12,0,60,1,2,1,5,4,3,0.23,0.275,0.333,0.609,*87/HD
24,25,13,36,36,2,5,0,0,1,3,0,0,14,0,0,0,1,1,0,0.139,0.139,0.222,0.361,/79HD
25,27,84,288,267,27,64,19,1,7,27,17,1,36,1,0,3,8,6,1,0.24,0.285,0.397,0.682,*3/H5
26,23,2,5,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,/*H*7
27,24,158,707,660,85,225,47,3,7,59,36,7,53,5,1,5,20,56,9,0.341,0.377,0.453,0.83,*4/HD
28,25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
29,24,30,67,57,2,11,0,0,0,2,1,0,20,0,8,1,0,0,0,0.193,0.203,0.193,0.396,*1
30,25,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
31,27,122,445,398,46,92,13,1,18,56,45,6,113,2,0,0,12,8,3,0.231,0.312,0.405,0.717,*5H/3D
32,23,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
33,25,148,466,423,39,101,13,2,5,40,29,5,69,1,8,5,6,12,1,0.239,0.286,0.314,0.6,6584H/7
34,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
35,26,8,15,14,0,2,2,0,0,1,0,0,7,0,1,0,0,0,0,0.143,0.143,0.286,0.429,/*1
36,27,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,/*H
37,26,22,41,34,0,1,0,0,0,0,0,0,14,1,6,0,0,0,0,0.029,0.057,0.029,0.087,*1/H
38,25,157,685,619,72,163,35,1,2,41,46,0,96,3,9,7,21,27,15,0.263,0.314,0.333,0.647,*6/DH
39,27,12,25,22,3,3,1,0,1,3,2,0,6,0,0,1,0,0,0,0.136,0.2,0.318,0.518,/*641
